"Method","tau","n","p","seed","beta0","beta1","beta2"
"mRock",0.9,1000,2,178,2.17723652042252,-1.49769605384257,-1.43618962411628
"two_step_Neyman",0.9,1000,2,179,0.605580872070177,-3.66001169704389,10.7600200899926
"two_step_LS",0.9,1000,2,179,4.57192480545172,-3.32026181506543,6.80207175149904
"mRock",0.9,1000,2,179,-0.251547676706789,-0.353549712224918,7.66120334688966
"two_step_Neyman",0.9,1000,2,18,-0.271012478972761,2.93636189678676,-6.69714670225015
"two_step_LS",0.9,1000,2,18,-1.27045655520685,2.49904786066894,-5.12872984574661
"mRock",0.9,1000,2,18,0.142698177334152,-0.27617106600814,-5.76709861296189
"two_step_Neyman",0.9,1000,2,180,-3.66645008044053,-0.759997005230556,2.90760504895573
"two_step_LS",0.9,1000,2,180,-0.0560600230330284,-1.43251787773823,-0.221591794402116
"mRock",0.9,1000,2,180,-0.755542008270483,0.199316934085124,-2.51256940678962
"two_step_Neyman",0.9,1000,2,181,-6.86663968859516,1.54746832339333,20.7943486273367
"two_step_LS",0.9,1000,2,181,-3.99666880741743,3.8451336002191,15.7176486366959
"mRock",0.9,1000,2,181,-0.579938851233097,0.268685973602666,13.7444130425288
"two_step_Neyman",0.9,1000,2,182,-2.41640218611687,1.83000896309723,6.43442431940628
"two_step_LS",0.9,1000,2,182,-3.53268679609516,1.7454107861679,7.43894137361818
"mRock",0.9,1000,2,182,0.18311098316539,-0.086722711823279,5.01623605574004
"two_step_Neyman",0.9,1000,2,183,-8.6669874447732,6.69128654799191,7.66141865233926
"two_step_LS",0.9,1000,2,183,-10.9766168807495,8.1367053183197,8.72274491197369
"mRock",0.9,1000,2,183,-0.155446953814059,-0.177960448702353,3.01424789083221
"two_step_Neyman",0.9,1000,2,184,-3.15126163748302,4.48250916903737,-0.462151902440908
"two_step_LS",0.9,1000,2,184,-2.40490761780325,3.75977877279725,-0.466385867873967
"mRock",0.9,1000,2,184,-0.27513010776847,-0.352162704066538,-0.19060834482913
"two_step_Neyman",0.9,1000,2,185,11.2650010171748,-6.41460116153579,-7.19683270526821
"two_step_LS",0.9,1000,2,185,7.30789001993863,-10.4675036162442,0.473035625655328
"mRock",0.9,1000,2,185,0.63884829122189,-0.765458459269998,-4.08732486177634
"two_step_Neyman",0.9,1000,2,186,3.43677966174518,-6.00297726757588,6.88759122910363
"two_step_LS",0.9,1000,2,186,4.16273216768159,-4.23515239391083,4.4220569390738
"mRock",0.9,1000,2,186,1.86334269028589,-1.5701868967799,2.36578613983065
"two_step_Neyman",0.9,1000,2,187,-0.623687876754281,3.45506506565295,-3.29362304214985
"two_step_LS",0.9,1000,2,187,2.07310715415505,2.73999772001742,-5.29869563263289
"mRock",0.9,1000,2,187,0.0560552272810835,0.0407953353657615,-4.24174148716874
"two_step_Neyman",0.9,1000,2,188,-2.20233988707932,-1.96678808391634,4.1416576088118
"two_step_LS",0.9,1000,2,188,-3.67636701040719,1.29801760663016,2.50620859824092
"mRock",0.9,1000,2,188,0.581429908001466,-0.340860800069231,-3.24103181862442
"two_step_Neyman",0.9,1000,2,189,-3.50530588872366,7.80599373386684,-3.90291797716949
"two_step_LS",0.9,1000,2,189,-0.234546875292238,1.5090264130332,-0.558958748191671
"mRock",0.9,1000,2,189,-0.694323586451522,0.580633218187752,-1.07385743316169
"two_step_Neyman",0.9,1000,2,19,-3.20383753064487,4.19302249246456,-10.5189950900625
"two_step_LS",0.9,1000,2,19,-2.54798725282408,0.706541892044543,-7.70081719221434
"mRock",0.9,1000,2,19,-0.616361823931257,0.473241815630599,-11.8759540918303
"two_step_Neyman",0.9,1000,2,190,-5.37896452472671,1.39113498100555,9.37214254715134
"two_step_LS",0.9,1000,2,190,2.07695989472438,-2.74635817302823,5.97980528724271
"mRock",0.9,1000,2,190,-0.0663717766087046,-0.166690332075174,4.67946149634454
"two_step_Neyman",0.9,1000,2,191,8.31108433497382,-4.41561693740064,-2.54311485205537
"two_step_LS",0.9,1000,2,191,-0.305045390185418,-2.72417765893284,3.90703826645793
"mRock",0.9,1000,2,191,0.96081946511592,-1.4797926275082,-0.215620253497676
"two_step_Neyman",0.9,1000,2,192,-7.19570287411599,5.93615573700686,1.06281831378396
"two_step_LS",0.9,1000,2,192,1.27349293559881,-0.512074010207616,-0.578229628226822
"mRock",0.9,1000,2,192,-1.403431125888,0.813342456521628,-0.950594172293137
